SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
0,1,부산여행,여행,국내여행,부산광역시,2363,291,2654,20240606
1,2,여수여행,여행,국내여행,전라남도,1642,157,1799,20240606
2,3,군산여행,여행,국내여행,전라북도,1517,121,1638,20240606
3,4,경주여행,여행,국내여행,경상북도,1418,144,1562,20240606
4,5,강릉여행,여행,국내여행,강원도,1088,152,1240,20240606
5,6,제주여행,여행,국내여행,제주특별자치도,967,152,1119,20240606
6,7,속초여행,여행,국내여행,강원도,985,133,1118,20240606
7,8,전주여행,여행,국내여행,전라북도,934,113,1047,20240606
8,9,목포여행,여행,국내여행,전라남도,884,77,961,20240606
9,10,대전여행,여행,국내여행,대전광역시,787,103,890,20240606
