축제명,축제시작일자,축제종료일자,축제내용,주최기관명,전화번호,홈페이지주소,소재지도로명주소,데이터기준일자,제공기관명
강릉커피축제,2022-10-06,2022-10-09,커피경연대회(바리스타+핸드드립+커핑+마카롱)+커피체험(로스팅+추출+커핑+공예품 등)+전시+공연 등,강원도 강릉시청,033-647-6802,http://www.coffeefestival.net,강원도 강릉시 임영로131번길 6 (용강동),2022-12-07,강원도 강릉시
전국생활문화축제 in강릉,2022-10-27,2022-10-30,전국 생활문화 활동 발표+기획 프로그램 등,강원도 강릉시청,033-647-6808,,강원도 강릉시 경강로 2021번길9-1,2022-12-07,강원도 강릉시
2022 강릉와인축제,2022-12-09,2022-12-11,도전 와인 골든벨+선셋 와인 아워+시음존 등 운영,강원도 강릉시청,033-647-6802,https://www.gncaf.or.kr/contents.asp?page=482,강원도 강릉시 경강로 2111,2022-12-07,강원도 강릉시
2022 강릉누들축제,2022-12-16,2022-12-18,"누들 쿠킹쇼, 쿠킹클래스, 시식회, 대형 수제비 만들기 등",강원도 강릉시청,033-640-5130,,강원도 강릉시 경강로 2112,2022-12-07,강원도 강릉시
군위 삼장군단오축제,2022-06-03,2022-06-03,단오축제,군위문화원,054-380-6866,,대구광역시 군위군 효령면 장군당 1길 24-6,2023-07-13,경상북도 군위군
김수환추기경 사랑과 나눔 문화축전,2022-10-29,2022-10-29,김수환추기경 문화축전,매일신문사,054-380-6065,,대구광역시 군위군 군위읍 군위금성로 270,2023-07-13,경상북도 군위군
구례산수유꽃축제,2023-03-11,2023-03-19,산수유꽃 프로그램,구례산수유꽃축제추진위원회,061-780-2390,https://www.gurye.go.kr/tour/detail.do?tourId=TOUR_0000000100&menuNo=104001002000,,2023-12-01,전라남도 구례군
2016 안양 시민축제,2016-09-24,2016-09-25,시민공연마당+ 전시체험부스+ 특별기회전시+ 개폐막 축하공연+ 방송국 공개방송 등,경기도 안양시+안양축제추진위원회,031-687-0500,http://www.ayac.or.kr,경기도 안양시 동안구 관평로 149 (평촌동),2024-04-08,경기도 안양시
2016 안양 아줌마축제,2016-05-28,2016-05-29,아줌마 축제 기념공연+ 여성동호회공연+ 주부가요제+ 홍보체험부스+ 김치왕선발대회 등,(재)안양문화예술재단,031-687-0500,http://www.ayac.or.kr,경기도 안양시 동안구 관평로 149 (평촌동),2024-04-08,경기도 안양시
2016 제5회 안양공공예술프로젝트,2016-10-15,2016-12-15,개막식+ 체험부스운영+ 공공예술작품 전시 및 공연,경기도 안양시,031-687-0916,http://www.ayac.or.kr,경기도 안양시 만안구 예술공원로 180(안양동),2024-04-08,경기도 안양시
